metabolite	cycle	x	y	conc_mmol
cobalt2_e	19	1	1	999.99987588
cu2_e	19	1	1	999.99987588
fe2_e	19	1	1	999.9993529
glycol_e	19	1	1	7.4131649857
h2o_e	19	1	1	1006.8983951
h_e	19	1	1	999.62517645
k_e	19	1	1	999.99301613
mg2_e	19	1	1	999.99968964
mn2_e	19	1	1	1000.0
mobd_e	19	1	1	999.99987588
na1_e	19	1	1	999.99984482
nh4_e	19	1	1	999.53175435
ni2_e	19	1	1	999.99987588
o2_e	19	1	1	994.57624059
pi_e	19	1	1	999.95873245
so4_e	19	1	1	999.9919031
tpha_e	19	1	1	9.5950141188
zn2_e	19	1	1	999.99987588
34dhbz_e	20	1	1	0.001225631267
C80aPHA_e	20	1	1	0.2167431703
ca2_e	20	1	1	99.999802177
cbl1_e	20	1	1	0.001
cl_e	20	1	1	999.99980218
co2_e	20	1	1	5.2369336142
cobalt2_e	20	1	1	999.99986813
cu2_e	20	1	1	999.99986813
fe2_e	20	1	1	999.99931249
glycol_e	20	1	1	7.2868648206
h2o_e	20	1	1	1007.25103
h_e	20	1	1	999.58084414
k_e	20	1	1	999.99258001
mg2_e	20	1	1	999.99967026
mn2_e	20	1	1	1000.0
mobd_e	20	1	1	999.99986813
na1_e	20	1	1	999.99983513
nh4_e	20	1	1	999.50251388
ni2_e	20	1	1	999.99986813
o2_e	20	1	1	994.24130488
pi_e	20	1	1	999.95615542
so4_e	20	1	1	999.99139747
tpha_e	20	1	1	9.5708546594
zn2_e	20	1	1	999.99986813
34dhbz_e	21	1	1	0.023116179126
C80aPHA_e	21	1	1	0.22345561965
ca2_e	21	1	1	99.999791242
cbl1_e	21	1	1	0.001
cl_e	21	1	1	999.99979124
co2_e	21	1	1	5.4890703409
cobalt2_e	21	1	1	999.99986084
cu2_e	21	1	1	999.99986084
fe2_e	21	1	1	999.99927448
glycol_e	21	1	1	7.1032481563
h2o_e	21	1	1	1007.7264271
h_e	21	1	1	999.57800189
k_e	21	1	1	999.99216984
mg2_e	21	1	1	999.99965204
mn2_e	21	1	1	1000.0
mobd_e	21	1	1	999.99986084
na1_e	21	1	1	999.99982602
nh4_e	21	1	1	999.47501339
ni2_e	21	1	1	999.99986084
o2_e	21	1	1	993.91979704
pi_e	21	1	1	999.95373174
so4_e	21	1	1	999.99092193
tpha_e	21	1	1	9.5463846859
zn2_e	21	1	1	999.99986084
34dhbz_e	22	1	1	0.00065600138974
C80aPHA_e	22	1	1	0.24189642768
ca2_e	22	1	1	99.999779293
cbl1_e	22	1	1	0.001
cl_e	22	1	1	999.99977929
co2_e	22	1	1	5.8428613612
cobalt2_e	22	1	1	999.99985288
cu2_e	22	1	1	999.99985288
fe2_e	22	1	1	999.99923296
glycol_e	22	1	1	6.9735631936
h2o_e	22	1	1	1008.0885728
h_e	22	1	1	999.53242225
k_e	22	1	1	999.99172167
mg2_e	22	1	1	999.99963212
mn2_e	22	1	1	1000.0
mobd_e	22	1	1	999.99985288
na1_e	22	1	1	999.99981606
nh4_e	22	1	1	999.44496548
ni2_e	22	1	1	999.99985288
o2_e	22	1	1	993.57565874
pi_e	22	1	1	999.95108355
so4_e	22	1	1	999.99040234
tpha_e	22	1	1	9.5216002073
zn2_e	22	1	1	999.99985288
34dhbz_e	23	1	1	0.024383101065
C80aPHA_e	23	1	1	0.24840488197
ca2_e	23	1	1	99.999768183
cbl1_e	23	1	1	0.001
cl_e	23	1	1	999.99976818
co2_e	23	1	1	6.0972700345
cobalt2_e	23	1	1	999.99984547
cu2_e	23	1	1	999.99984547
fe2_e	23	1	1	999.99919435
glycol_e	23	1	1	6.7849011574
h2o_e	23	1	1	1008.5763455
h_e	23	1	1	999.53053695
k_e	23	1	1	999.99130495
mg2_e	23	1	1	999.9996136
mn2_e	23	1	1	1000.0
mobd_e	23	1	1	999.99984547
na1_e	23	1	1	999.9998068
nh4_e	23	1	1	999.41702589
ni2_e	23	1	1	999.99984547
o2_e	23	1	1	993.24831425
pi_e	23	1	1	999.94862117
so4_e	23	1	1	999.98991921
tpha_e	23	1	1	9.4964971815
zn2_e	23	1	1	999.99984547
34dhbz_e	24	1	1	0.0012072754084
C80aPHA_e	24	1	1	0.2673668285
ca2_e	24	1	1	99.999755907
cbl1_e	24	1	1	0.001
cl_e	24	1	1	999.99975591
co2_e	24	1	1	6.4608424217
cobalt2_e	24	1	1	999.99983729
cu2_e	24	1	1	999.99983729
fe2_e	24	1	1	999.99915168
glycol_e	24	1	1	6.6517524786
h2o_e	24	1	1	1008.9482192
h_e	24	1	1	999.4836851
k_e	24	1	1	999.99084449
mg2_e	24	1	1	999.99959314
mn2_e	24	1	1	1000.0
mobd_e	24	1	1	999.99983729
na1_e	24	1	1	999.99979657
nh4_e	24	1	1	999.38615342
ni2_e	24	1	1	999.99983729
o2_e	24	1	1	992.89477491
pi_e	24	1	1	999.94590031
so4_e	24	1	1	999.98938536
tpha_e	24	1	1	9.4710715142
zn2_e	24	1	1	999.99983729
34dhbz_e	25	1	1	0.024435210739
C80aPHA_e	25	1	1	0.27439215472
ca2_e	25	1	1	99.999744383
cbl1_e	25	1	1	0.001
cl_e	25	1	1	999.99974438
co2_e	25	1	1	6.726179408
cobalt2_e	25	1	1	999.99982961
cu2_e	25	1	1	999.99982961
fe2_e	25	1	1	999.99911163
glycol_e	25	1	1	6.4579362934
h2o_e	25	1	1	1009.4499113
h_e	25	1	1	999.48091828
k_e	25	1	1	999.99041224
mg2_e	25	1	1	999.99957393
mn2_e	25	1	1	1000.0
mobd_e	25	1	1	999.99982961
na1_e	25	1	1	999.99978697
nh4_e	25	1	1	999.35717264
ni2_e	25	1	1	999.99982961
o2_e	25	1	1	992.55595683
pi_e	25	1	1	999.94334617
so4_e	25	1	1	999.98888423
tpha_e	25	1	1	9.4453190587
zn2_e	25	1	1	999.99982961
34dhbz_e	26	1	1	0.0005082942712
C80aPHA_e	26	1	1	0.29389426427
ca2_e	26	1	1	99.999731768
cbl1_e	26	1	1	0.001
cl_e	26	1	1	999.99973177
co2_e	26	1	1	7.0998652751
cobalt2_e	26	1	1	999.9998212
cu2_e	26	1	1	999.9998212
fe2_e	26	1	1	999.99906779
glycol_e	26	1	1	6.3212206188
h2o_e	26	1	1	1009.8318101
h_e	26	1	1	999.43274962
k_e	26	1	1	999.98993908
mg2_e	26	1	1	999.9995529
mn2_e	26	1	1	1000.0
mobd_e	26	1	1	999.9998212
na1_e	26	1	1	999.99977645
nh4_e	26	1	1	999.32544833
ni2_e	26	1	1	999.9998212
o2_e	26	1	1	992.1927106
pi_e	26	1	1	999.94055023
so4_e	26	1	1	999.98833565
tpha_e	26	1	1	9.4192356148
zn2_e	26	1	1	999.9998212
34dhbz_e	27	1	1	0.025516468238
C80aPHA_e	27	1	1	0.30075107028
ca2_e	27	1	1	99.999720046
cbl1_e	27	1	1	0.001
cl_e	27	1	1	999.99972005
co2_e	27	1	1	7.3681786266
cobalt2_e	27	1	1	999.99981339
cu2_e	27	1	1	999.99981339
fe2_e	27	1	1	999.99902705
glycol_e	27	1	1	6.1220825616
h2o_e	27	1	1	1010.3466492
h_e	27	1	1	999.43086936
k_e	27	1	1	999.98949939
mg2_e	27	1	1	999.99953337
mn2_e	27	1	1	1000.0
mobd_e	27	1	1	999.99981339
na1_e	27	1	1	999.99976668
nh4_e	27	1	1	999.29596908
ni2_e	27	1	1	999.99981339
o2_e	27	1	1	991.84735606
pi_e	27	1	1	999.93795216
so4_e	27	1	1	999.9878259
tpha_e	27	1	1	9.3928169284
zn2_e	27	1	1	999.99981339
34dhbz_e	28	1	1	0.00082865635806
C80aPHA_e	28	1	1	0.3208041655
ca2_e	28	1	1	99.999707085
cbl1_e	28	1	1	0.001
cl_e	28	1	1	999.99970708
co2_e	28	1	1	7.7521946555
cobalt2_e	28	1	1	999.99980475
cu2_e	28	1	1	999.99980475
fe2_e	28	1	1	999.998982
glycol_e	28	1	1	5.9817153853
h2o_e	28	1	1	1010.7388067
h_e	28	1	1	999.38135646
k_e	28	1	1	999.98901324
mg2_e	28	1	1	999.99951176
mn2_e	28	1	1	1000.0
mobd_e	28	1	1	999.99980475
na1_e	28	1	1	999.99975588
nh4_e	28	1	1	999.26337426
ni2_e	28	1	1	999.99980475
o2_e	28	1	1	991.47418744
pi_e	28	1	1	999.9350795
so4_e	28	1	1	999.98726227
tpha_e	28	1	1	9.3660586908
zn2_e	28	1	1	999.99980475
34dhbz_e	29	1	1	0.026208873622
C80aPHA_e	29	1	1	0.3279325019
ca2_e	29	1	1	99.999695013
cbl1_e	29	1	1	0.001
cl_e	29	1	1	999.99969501
co2_e	29	1	1	8.0287620249
cobalt2_e	29	1	1	999.9997967
cu2_e	29	1	1	999.9997967
fe2_e	29	1	1	999.99894005
glycol_e	29	1	1	5.7771373276
h2o_e	29	1	1	1011.2678437
h_e	29	1	1	999.37925399
k_e	29	1	1	999.98856047
mg2_e	29	1	1	999.99949164
mn2_e	29	1	1	1000.0
mobd_e	29	1	1	999.9997967
na1_e	29	1	1	999.99974582
nh4_e	29	1	1	999.23301721
ni2_e	29	1	1	999.9997967
o2_e	29	1	1	991.11883279
pi_e	29	1	1	999.93240407
so4_e	29	1	1	999.98673733
tpha_e	29	1	1	9.3389565378
zn2_e	29	1	1	999.9997967
34dhbz_e	30	1	1	0.00073300796478
C80aPHA_e	30	1	1	0.34855328391
ca2_e	30	1	1	99.999681696
cbl1_e	30	1	1	0.001
cl_e	30	1	1	999.9996817
co2_e	30	1	1	8.4234103672
cobalt2_e	30	1	1	999.99978782
cu2_e	30	1	1	999.99978782
fe2_e	30	1	1	999.99889377
glycol_e	30	1	1	5.6330181477
h2o_e	30	1	1	1011.6705452
h_e	30	1	1	999.32835692
k_e	30	1	1	999.98806096
mg2_e	30	1	1	999.99946944
mn2_e	30	1	1	1000.0
mobd_e	30	1	1	999.99978782
na1_e	30	1	1	999.99973472
nh4_e	30	1	1	999.19952675
ni2_e	30	1	1	999.99978782
o2_e	30	1	1	990.73545743
pi_e	30	1	1	999.92945248
so4_e	30	1	1	999.98615821
tpha_e	30	1	1	9.3115060492
zn2_e	30	1	1	999.99978782
34dhbz_e	31	1	1	0.027017749283
C80aPHA_e	31	1	1	0.35579917501
ca2_e	31	1	1	99.999669321
cbl1_e	31	1	1	0.001
cl_e	31	1	1	999.99966932
co2_e	31	1	1	8.7066223924
cobalt2_e	31	1	1	999.99977957
cu2_e	31	1	1	999.99977957
fe2_e	31	1	1	999.99885076
glycol_e	31	1	1	5.4228441749
h2o_e	31	1	1	1012.2139322
h_e	31	1	1	999.32642851
k_e	31	1	1	999.9875968
mg2_e	31	1	1	999.99944882
mn2_e	31	1	1	1000.0
mobd_e	31	1	1	999.99977957
na1_e	31	1	1	999.99972441
nh4_e	31	1	1	999.16840645
ni2_e	31	1	1	999.99977957
o2_e	31	1	1	990.37097355
pi_e	31	1	1	999.92670978
so4_e	31	1	1	999.98562008
tpha_e	31	1	1	9.2837027479
zn2_e	31	1	1	999.99977957
34dhbz_e	32	1	1	0.00073231874572
C80aPHA_e	32	1	1	0.37700269807
ca2_e	32	1	1	99.999655638
cbl1_e	32	1	1	0.001
cl_e	32	1	1	999.99965564
co2_e	32	1	1	9.1121833603
cobalt2_e	32	1	1	999.99977045
